,continent,location,date,total_vaccinations,people_partially_vaccinated,people_fully_vaccinated
0,Asia,Afghanistan,2021-05-11,504502.0,448878.0,55624.0
1,Asia,Afghanistan,2021-05-20,547901.0,470341.0,77560.0
2,Asia,Afghanistan,2021-05-24,573277.0,476367.0,96910.0
3,Asia,Afghanistan,2021-05-26,590454.0,479372.0,111082.0
4,Asia,Afghanistan,2021-05-27,593313.0,479574.0,113739.0
5,Asia,Afghanistan,2021-05-30,600152.0,480226.0,119926.0
6,Asia,Afghanistan,2021-06-02,626290.0,481690.0,144600.0
7,Asia,Afghanistan,2021-06-03,630305.0,481800.0,148505.0
8,Asia,Afghanistan,2021-06-08,641295.0,482952.0,158343.0
9,Asia,Afghanistan,2021-06-14,662003.0,484737.0,177266.0
10,Asia,Afghanistan,2021-06-22,765890.0,582128.0,183762.0
11,Asia,Afghanistan,2021-06-27,835694.0,649434.0,186260.0
12,Asia,Afghanistan,2021-06-30,886854.0,699200.0,187654.0
13,Asia,Afghanistan,2021-07-05,915671.0,726349.0,189322.0
14,Asia,Afghanistan,2021-07-07,934463.0,735213.0,199250.0
15,Asia,Afghanistan,2021-07-11,962093.0,742934.0,219159.0
16,Asia,Afghanistan,2021-08-20,1201286.0,770542.0,430744.0
17,Asia,Afghanistan,2021-11-14,4018197.0,3530173.0,3188609.0
18,Asia,Afghanistan,2021-12-27,4674518.0,4142857.0,3753224.0
19,Asia,Afghanistan,2022-01-09,4903368.0,4358570.0,3809353.0
20,Asia,Afghanistan,2022-01-11,4925111.0,4378818.0,3814837.0
21,Asia,Afghanistan,2022-01-13,4954809.0,4405897.0,3823786.0
22,Asia,Afghanistan,2022-01-17,4985047.0,4432926.0,3832821.0
23,Asia,Afghanistan,2022-01-19,5004050.0,4450211.0,3836731.0
24,Asia,Afghanistan,2022-01-24,5046054.0,4486527.0,3851307.0
25,Asia,Afghanistan,2022-01-26,5074196.0,4511372.0,3866279.0
26,Asia,Afghanistan,2022-01-27,5081064.0,4517380.0,3868832.0
27,Asia,Afghanistan,2022-01-31,5125146.0,4554648.0,3892831.0
28,Asia,Afghanistan,2022-02-02,5152297.0,4577740.0,3912336.0
29,Asia,Afghanistan,2022-02-07,5216998.0,4634282.0,3959887.0
30,Asia,Afghanistan,2022-02-14,5321308.0,4723416.0,4043580.0
31,Asia,Afghanistan,2022-02-20,5412309.0,4801524.0,4125717.0
32,Asia,Afghanistan,2022-02-27,5535254.0,4907058.0,4231984.0
33,Asia,Afghanistan,2022-03-06,5597130.0,4952744.0,4281934.0
34,Asia,Afghanistan,2022-03-17,5731146.0,5066540.0,4402868.0
35,Asia,Afghanistan,2022-03-22,5751015.0,5082824.0,4420127.0
36,Asia,Afghanistan,2022-04-04,5872684.0,5188057.0,4532577.0
37,Asia,Afghanistan,2022-04-14,5940400.0,5246981.0,4595506.0
38,Asia,Afghanistan,2022-04-18,5948889.0,5253929.0,4603187.0
39,Asia,Afghanistan,2022-04-26,5985756.0,5286657.0,4636946.0
40,Asia,Afghanistan,2022-04-27,5986139.0,5287027.0,4637327.0
41,Asia,Afghanistan,2022-05-05,6021468.0,5318484.0,4668999.0
42,Asia,Afghanistan,2022-05-08,6023425.0,5320381.0,4670950.0
43,Asia,Afghanistan,2022-05-10,6029737.0,5326298.0,4676224.0
44,Asia,Afghanistan,2022-05-15,6066579.0,5359930.0,4710456.0
45,Asia,Afghanistan,2022-05-23,6118557.0,5407462.0,4758426.0
46,Asia,Afghanistan,2022-06-01,6171652.0,5456919.0,4807917.0
47,Asia,Afghanistan,2022-06-15,6295222.0,5573175.0,4923085.0
48,Asia,Afghanistan,2022-06-21,6355931.0,5629522.0,4979930.0
49,Asia,Afghanistan,2022-06-30,6445359.0,5713284.0,5064430.0
50,Asia,Afghanistan,2022-07-10,6491111.0,5755294.0,5105618.0
51,Asia,Afghanistan,2022-07-17,6706843.0,5969406.0,5309804.0
52,Asia,Afghanistan,2022-07-19,7885045.0,7139453.0,6422705.0
53,Asia,Afghanistan,2022-07-27,8040605.0,7294709.0,6571487.0
54,Asia,Afghanistan,2022-08-07,9822860.0,9066437.0,8272846.0
55,Asia,Afghanistan,2022-08-15,11216694.0,10454698.0,9613976.0
56,Asia,Afghanistan,2022-08-22,11391703.0,10615478.0,9771963.0
57,Asia,Afghanistan,2022-08-31,11562525.0,10730669.0,9939590.0
58,Asia,Afghanistan,2022-09-04,11588893.0,10748257.0,9963368.0
59,Asia,Afghanistan,2022-09-11,11725188.0,10823299.0,10096068.0
60,Asia,Afghanistan,2022-09-12,11734635.0,10827184.0,10105500.0
61,Asia,Afghanistan,2022-09-19,11820186.0,10873999.0,10187788.0
62,Asia,Afghanistan,2022-09-26,11868997.0,10917914.0,10233282.0
63,Asia,Afghanistan,2022-09-28,11881035.0,10929549.0,10245183.0
64,Asia,Afghanistan,2022-10-04,11923733.0,10961643.0,10278516.0
65,Asia,Afghanistan,2022-10-11,11951964.0,10987211.0,10303193.0
66,Asia,Afghanistan,2022-10-16,11977773.0,11012345.0,10328057.0
67,Asia,Afghanistan,2022-10-24,12055358.0,11084618.0,10386823.0
68,Asia,Afghanistan,2022-11-01,12103780.0,11130641.0,10427132.0
69,Asia,Afghanistan,2022-11-02,12140367.0,11165700.0,10458947.0
70,Asia,Afghanistan,2022-11-08,12174141.0,11196779.0,10489783.0
71,Asia,Afghanistan,2022-11-15,12202136.0,11223064.0,10517707.0
72,Asia,Afghanistan,2022-11-16,12216936.0,11236798.0,10531675.0
73,Asia,Afghanistan,2022-11-27,12275911.0,11292816.0,10587076.0
74,Asia,Afghanistan,2022-12-05,12304901.0,11320910.0,10615628.0
75,Asia,Afghanistan,2022-12-22,12449870.0,11459692.0,10754839.0
76,Asia,Afghanistan,2023-01-06,12526397.0,11533150.0,10825004.0
77,Asia,Afghanistan,2023-01-16,12603486.0,11606705.0,10894509.0
78,Asia,Afghanistan,2023-01-22,12672379.0,11672740.0,10956289.0
79,Asia,Afghanistan,2023-01-29,12684950.0,11684678.0,10967235.0
80,Asia,Afghanistan,2023-02-12,12768909.0,11764723.0,11043751.0
81,Asia,Afghanistan,2023-02-14,12788310.0,11782909.0,11062636.0
82,Asia,Afghanistan,2023-02-19,13603457.0,12380134.0,11661485.0
83,Asia,Afghanistan,2023-02-23,13910490.0,12603710.0,11885116.0
84,Asia,Afghanistan,2023-02-26,14743912.0,13195588.0,12476994.0
85,Asia,Afghanistan,2023-02-28,15093798.0,13441995.0,12723156.0
86,Asia,Afghanistan,2023-03-05,15966423.0,14055768.0,13337097.0
87,Asia,Afghanistan,2023-03-12,16248588.0,14258889.0,13542327.0
88,Asia,Afghanistan,2023-03-14,16250654.0,14260160.0,13544321.0
89,Asia,Afghanistan,2023-03-19,16474895.0,14437250.0,13723342.0
90,Asia,Afghanistan,2023-03-21,16482384.0,14444587.0,13730545.0
91,Asia,Afghanistan,2023-03-26,16498498.0,14456834.0,13742792.0
92,Asia,Afghanistan,2023-03-28,16499153.0,14457250.0,13743213.0
93,Asia,Afghanistan,2023-04-02,16586584.0,14526772.0,13815117.0
94,Asia,Afghanistan,2023-04-09,16625558.0,14559029.0,13846468.0
95,Asia,Afghanistan,2023-04-11,16693053.0,14613185.0,13900701.0
96,Asia,Afghanistan,2023-04-16,16727076.0,14640106.0,13928107.0
97,Asia,Afghanistan,2023-04-18,16826772.0,14719397.0,14005566.0
98,Asia,Afghanistan,2023-04-24,16844011.0,14732514.0,14018650.0
99,Asia,Afghanistan,2023-04-25,16847327.0,14735342.0,14021488.0
100,Asia,Afghanistan,2023-04-30,16902291.0,14778598.0,14064253.0
101,Asia,Afghanistan,2023-05-03,16918550.0,14790567.0,14076220.0
102,Asia,Afghanistan,2023-05-09,16960754.0,14823235.0,14109000.0
103,Asia,Afghanistan,2023-05-14,17060992.0,14902276.0,14187450.0
